date,hour,open,high,low,close,real_volume,tick_volume,spread
2016.06.28,12:30:00,50680,50785,50610,50780,16821,6789,5
2016.06.28,12:15:00,50785,50890,50660,50680,17691,7112,5
2016.06.28,12:00:00,50695,50810,50625,50790,19665,8026,5
2016.06.28,11:45:00,50835,50895,50665,50695,19240,7563,5
2016.06.28,11:30:00,50835,50905,50705,50835,21967,8934,5
2016.06.28,11:15:00,50970,51080,50780,50835,25065,9991,5
2016.06.28,11:00:00,51090,51190,50920,50970,25056,10015,5
2016.06.28,10:45:00,50930,51150,50870,51100,27947,11067,5
2016.06.28,10:30:00,50875,51020,50750,50935,32285,13411,5
2016.06.28,10:15:00,50895,51010,50785,50880,18209,7726,5
2016.06.28,10:00:00,50930,50990,50840,50900,16104,6608,5
2016.06.28,9:45:00,51030,51030,50915,50930,8834,3590,5
2016.06.28,9:30:00,50930,51060,50865,51035,14013,5398,5
2016.06.28,9:15:00,50715,50965,50715,50935,12812,4843,5
2016.06.28,9:00:00,50785,50900,50685,50715,14172,5237,5
2016.06.27,18:00:00,49920,49920,49920,49920,1156,240,5
2016.06.27,17:45:00,49965,49995,49930,49930,1790,885,5
2016.06.27,17:30:00,50050,50060,49920,49965,5058,1915,5
2016.06.27,17:15:00,50135,50215,50035,50055,7876,2936,5
2016.06.27,17:00:00,50100,50175,50035,50135,10548,3863,5
2016.06.27,16:45:00,50165,50260,50080,50105,15856,6212,5
2016.06.27,16:30:00,50005,50235,49950,50165,16871,7081,5
2016.06.27,16:15:00,50090,50100,49965,50010,9131,3754,5
2016.06.27,16:00:00,49950,50115,49880,50090,11742,4856,5
2016.06.27,15:45:00,50125,50145,49910,49950,11041,4614,5
2016.06.27,15:30:00,50040,50150,49970,50125,14038,5801,5
2016.06.27,15:15:00,49925,50060,49875,50040,14767,5910,5
2016.06.27,15:00:00,50135,50180,49905,49925,15309,6653,5
2016.06.27,14:45:00,50020,50170,49985,50130,13811,5732,5
2016.06.27,14:30:00,50260,50265,50015,50020,18365,7140,5
2016.06.27,14:15:00,50310,50375,50240,50265,11934,4906,5
