date,hour,open,high,low,close,real_volume,tick_volume
2016.12.19,14:30:00,58930,58975,58770,58790,26787,9630
2016.12.19,15:00:00,58790,58990,58765,58890,27153,9981
2016.12.19,15:30:00,58895,58930,58790,58835,22967,8306
2016.12.19,16:00:00,58835,58855,58380,58455,62935,21273
2016.12.19,16:30:00,58460,58525,58280,58520,47368,15816
2016.12.19,17:00:00,58525,58585,58255,58430,46148,15030
2016.12.19,17:30:00,58430,58435,58100,58105,33194,10160
2016.12.19,18:00:00,58120,58170,58080,58100,6288,1078
2016.12.20,09:00:00,58230,58515,58220,58485,38287,14396
2016.12.20,09:30:00,58490,58665,58435,58590,33583,12702
2016.12.20,10:00:00,58600,58685,58480,58540,42542,17203
2016.12.20,10:30:00,58535,58775,58535,58755,34744,14120
2016.12.20,11:00:00,58755,58790,58535,58590,39090,14706
2016.12.20,11:30:00,58585,58945,58515,58900,53963,19231
2016.12.20,12:00:00,58905,58985,58780,58840,38246,13983
2016.12.20,12:30:00,58845,58845,58380,58390,72272,25062
2016.12.20,13:00:00,58390,58530,58245,58420,60932,20386
2016.12.20,13:30:00,58420,58450,58180,58310,46777,15023
2016.12.20,14:00:00,58310,58555,58235,58480,48881,17238
2016.12.20,14:30:00,58475,58485,58310,58405,38792,13545
2016.12.20,15:00:00,58405,58405,58240,58295,34818,12045
2016.12.20,15:30:00,58290,58330,58165,58240,35352,11732
2016.12.20,16:00:00,58235,58370,58030,58145,47260,16089
2016.12.20,16:30:00,58145,58220,58065,58130,28203,9893
2016.12.20,17:00:00,58130,58440,58075,58365,40914,13427
2016.12.20,17:30:00,58365,58645,58330,58620,36809,10755
2016.12.20,18:00:00,58615,58680,58565,58650,7362,1407
2016.12.21,09:00:00,58500,58885,58420,58820,34725,12375
2016.12.21,09:30:00,58810,59000,58770,58960,31143,10644
2016.12.21,10:00:00,58960,58970,58710,58775,35770,13348
2016.12.21,10:30:00,58770,58890,58675,58755,41243,15025
2016.12.21,11:00:00,58750,58775,58630,58670,29317,11238
2016.12.21,11:30:00,58670,58950,58655,58880,37699,13501
2016.12.21,12:00:00,58880,59120,58880,59045,42501,15123
2016.12.21,12:30:00,59045,59065,58520,58530,67397,24010
2016.12.21,13:00:00,58535,58675,58415,58645,51504,17478
2016.12.21,13:30:00,58645,58645,58300,58310,57636,20365
2016.12.21,14:00:00,58305,58610,58290,58455,34423,12501
2016.12.21,14:30:00,58460,58570,58250,58275,37372,13422
2016.12.21,15:00:00,58275,58445,58230,58305,34409,11952
2016.12.21,15:30:00,58310,58545,58270,58405,36039,12299
2016.12.21,16:00:00,58405,58540,58330,58365,27935,9581
2016.12.21,16:30:00,58365,58640,58320,58505,40304,13191
2016.12.21,17:00:00,58500,58835,58475,58825,36114,12242
2016.12.21,17:30:00,58830,58975,58510,58655,45822,14100
2016.12.21,18:00:00,58655,58750,58540,58540,8474,1291
2016.12.22,09:00:00,58450,58710,58305,58410,47739,18434
2016.12.22,09:30:00,58410,58630,58350,58550,34686,13224
2016.12.22,10:00:00,58545,58580,58250,58305,51545,19053
2016.12.22,10:30:00,58305,58515,58265,58405,33635,13041
2016.12.22,11:00:00,58405,58585,58350,58435,39703,14598
2016.12.22,11:30:00,58435,58575,58315,58385,41136,15347
2016.12.22,12:00:00,58380,58475,58305,58415,23994,8518
2016.12.22,12:30:00,58420,58430,58150,58280,55803,19818
2016.12.22,13:00:00,58280,58370,58215,58230,24749,9324
2016.12.22,13:30:00,58225,58230,57910,58035,42881,14705
2016.12.22,14:00:00,58030,58060,57830,57870,37436,13528
2016.12.22,14:30:00,57875,58045,57805,58010,32637,11863
2016.12.22,15:00:00,58010,58130,57885,58105,37667,13119
2016.12.22,15:30:00,58105,58205,58050,58180,28968,10159
2016.12.22,16:00:00,58175,58285,58120,58275,23896,8217
2016.12.22,16:30:00,58275,58330,58065,58120,36379,12676
2016.12.22,17:00:00,58115,58400,58075,58400,34796,12133
2016.12.22,17:30:00,58390,58440,58170,58280,24076,7473
2016.12.22,18:00:00,58285,58325,58220,58220,7460,1281
2016.12.23,09:00:00,58100,58495,58100,58430,37626,13715
2016.12.23,09:30:00,58430,58525,58400,58490,25380,8777
2016.12.23,10:00:00,58495,58650,58490,58570,40387,15322
2016.12.23,10:30:00,58570,58785,58445,58710,47955,17566
2016.12.23,11:00:00,58710,58750,58600,58695,21609,8293
2016.12.23,11:30:00,58695,58830,58645,58765,23722,8592
2016.12.23,12:00:00,58760,58850,58680,58750,26023,9309
2016.12.23,12:30:00,58750,58965,58620,58955,55453,20138
2016.12.23,13:00:00,58955,59145,58920,58960,46910,16363
2016.12.23,13:30:00,58970,59055,58835,59045,31774,11525
2016.12.23,14:00:00,59040,59135,58910,58935,30733,10653
2016.12.23,14:30:00,58935,59030,58880,59015,20275,7413
2016.12.23,15:00:00,59020,59085,58940,59020,19834,7290
2016.12.23,15:30:00,59020,59190,59015,59180,27939,9646
2016.12.23,16:00:00,59180,59190,59020,59160,22456,8010
2016.12.23,16:30:00,59155,59190,59035,59050,17995,6093
2016.12.23,17:00:00,59045,59140,58985,59070,14082,4949
2016.12.23,17:30:00,59070,59160,58975,59055,19802,6082
2016.12.23,18:00:00,59060,59145,59050,59140,8509,1301
2016.12.26,09:00:00,59050,59340,59025,59285,10506,3486
2016.12.26,09:30:00,59285,59320,59205,59250,5371,1587
2016.12.26,10:00:00,59255,59330,59235,59300,7000,2450
2016.12.26,10:30:00,59290,59390,59275,59385,7852,2598
2016.12.26,11:00:00,59375,59485,59360,59465,12262,3676
2016.12.26,11:30:00,59465,59485,59450,59480,4256,1310
2016.12.26,12:00:00,59475,59600,59475,59565,11480,3452
2016.12.26,12:30:00,59565,59700,59550,59660,11645,3442
2016.12.26,13:00:00,59660,59685,59575,59610,11635,3397
2016.12.26,13:30:00,59605,59635,59520,59610,11157,3286
2016.12.26,14:00:00,59610,59620,59540,59575,5604,1603
2016.12.26,14:30:00,59580,59650,59545,59620,5511,1718
2016.12.26,15:00:00,59625,59735,59620,59695,10829,3042
2016.12.26,15:30:00,59695,59745,59680,59710,5839,1795
2016.12.26,16:00:00,59710,59745,59630,59675,7768,2512
2016.12.26,16:30:00,59675,59715,59640,59670,6107,1623
2016.12.26,17:00:00,59675,59825,59655,59765,11846,3379
2016.12.26,17:30:00,59765,59805,59680,59700,9611,2379
2016.12.26,18:00:00,59710,59795,59690,59735,5862,931
2016.12.27,09:00:00,59735,59990,59730,59985,27634,8768
2016.12.27,09:30:00,59985,60060,59915,60030,25250,7900
2016.12.27,10:00:00,60035,60090,59905,59970,31102,11358
2016.12.27,10:30:00,59975,60045,59915,59915,19552,7342
2016.12.27,11:00:00,59915,59965,59845,59950,27105,9331
2016.12.27,11:30:00,59960,59995,59735,59775,27678,9839
2016.12.27,12:00:00,59775,59775,59575,59620,28990,9862
2016.12.27,12:30:00,59615,59860,59525,59750,57649,19695
2016.12.27,13:00:00,59770,59775,59375,59525,48874,16230
2016.12.27,13:30:00,59530,59615,59460,59525,24711,8729
2016.12.27,14:00:00,59530,59675,59440,59620,32170,11107
2016.12.27,14:30:00,59625,59745,59620,59700,28910,9871
2016.12.27,15:00:00,59705,59740,59550,59575,24028,8063
2016.12.27,15:30:00,59580,59600,59470,59525,23208,7981
2016.12.27,16:00:00,59530,59540,59385,59385,23917,7795
2016.12.27,16:30:00,59395,59450,59300,59390,22270,7521
2016.12.27,17:00:00,59400,59595,59320,59540,22981,7857
2016.12.27,17:30:00,59540,59660,59460,59655,18430,5883
2016.12.27,18:00:00,59645,59660,59565,59620,4938,892
2016.12.28,09:00:00,59755,59960,59755,59785,30183,9863
2016.12.28,09:30:00,59790,59850,59715,59820,32266,10471
2016.12.28,10:00:00,59815,59860,59675,59775,29730,10293
2016.12.28,10:30:00,59780,59930,59755,59895,22467,7908
2016.12.28,11:00:00,59895,59920,59790,59815,19755,6816
2016.12.28,11:30:00,59815,60035,59795,60005,27174,9167
2016.12.28,12:00:00,60005,60070,59930,60025,23883,7713
2016.12.28,12:30:00,60030,60330,60030,60310,48832,16622
2016.12.28,13:00:00,60300,60590,60260,60490,44490,14415
2016.12.28,13:30:00,60490,60665,60440,60615,45441,14292
2016.12.28,14:00:00,60615,60760,60585,60720,44925,13813
2016.12.28,14:30:00,60725,60865,60710,60755,34894,10762
2016.12.28,15:00:00,60755,60840,60590,60740,41637,13009
2016.12.28,15:30:00,60735,60810,60545,60775,44503,14346
2016.12.28,16:00:00,60780,60820,60650,60755,29349,9788
2016.12.28,16:30:00,60750,60890,60695,60840,27131,8980
2016.12.28,17:00:00,60835,60870,60645,60685,25944,8035
2016.12.28,17:30:00,60690,60830,60650,60700,24432,6497
2016.12.28,18:00:00,60700,60825,60680,60825,8171,1180
2016.12.29,09:00:00,60740,60820,60615,60730,31158,9868
2016.12.29,09:30:00,60725,60785,60690,60780,17520,5391
2016.12.29,10:00:00,60780,60960,60560,60625,45166,16887
2016.12.29,10:30:00,60625,60655,60260,60455,48457,17806
2016.12.29,11:00:00,60455,60460,60085,60380,42320,15868
2016.12.29,11:30:00,60385,60590,60310,60530,30867,10343
2016.12.29,12:00:00,60530,60580,60370,60535,24534,8281
2016.12.29,12:30:00,60540,60710,60430,60500,50029,16927
2016.12.29,13:00:00,60505,60810,60480,60795,38766,13612
2016.12.29,13:30:00,60795,60860,60660,60850,28861,9841
2016.12.29,14:00:00,60835,60940,60805,60830,30816,10389
2016.12.29,14:30:00,60830,60885,60620,60650,33808,11100
2016.12.29,15:00:00,60655,60785,60550,60740,34337,10822
2016.12.29,15:30:00,60740,60900,60665,60785,31856,10592
2016.12.29,16:00:00,60785,60890,60750,60795,18626,6447
2016.12.29,16:30:00,60795,61005,60780,60985,26761,9289
2016.12.29,17:00:00,60980,61165,60980,61085,36400,11595
2016.12.29,17:30:00,61090,61175,60940,61060,28337,8691
2016.12.29,18:00:00,61075,61165,61020,61040,11499,2229
2017.01.02,09:00:00,60890,60890,60495,60510,27620,8206
2017.01.02,09:30:00,60515,60555,60370,60405,24112,7885
2017.01.02,10:00:00,60395,60420,60205,60305,29587,9440
2017.01.02,10:30:00,60305,60395,60250,60365,27275,8806
2017.01.02,11:00:00,60365,60550,60360,60540,24713,7516
2017.01.02,11:30:00,60545,60610,60470,60570,25222,7871
2017.01.02,12:00:00,60565,60600,60390,60430,21673,6966
2017.01.02,12:30:00,60430,60515,60400,60460,11027,3599
2017.01.02,13:00:00,60460,60515,60260,60500,31200,10365
2017.01.02,13:30:00,60505,60725,60500,60640,30964,9570
2017.01.02,14:00:00,60640,60780,60605,60750,15055,5066
2017.01.02,14:30:00,60755,60800,60610,60625,19679,5576
2017.01.02,15:00:00,60630,60710,60565,60700,14542,4167
2017.01.02,15:30:00,60690,60775,60335,60375,34456,9672
2017.01.02,16:00:00,60380,60490,60290,60465,20868,6176
2017.01.02,16:30:00,60460,60640,60415,60570,18186,5457
